"Nombre de imagen","PID","Nombre de sesión","Núm. de sesión","Uso de memoria","Estado","Nombre de usuario","Tiempo de CPU","Título de ventana"
"svchost.exe","4836","Services","0","17,108 KB","Unknown","N/D","0:00:00","N/D"
"SgrmBroker.exe","8172","Services","0","5,720 KB","Unknown","N/D","0:00:03","N/D"
"GoogleCrashHandler.exe","7008","Services","0","10,432 KB","Unknown","N/D","0:00:00","N/D"
"GoogleCrashHandler64.exe","1948","Services","0","144 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","2976","Services","0","20,500 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","6532","Services","0","6,900 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","3888","Services","0","14,472 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","5700","Services","0","8,704 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","340","Services","0","17,480 KB","Unknown","N/D","0:00:00","N/D"
"csrss.exe","6836","RDP-Tcp#12","2","4,584 KB","Running","N/D","0:00:04","N/D"
"winlogon.exe","3280","RDP-Tcp#12","2","7,772 KB","Unknown","N/D","0:00:00","N/D"
"fontdrvhost.exe","4012","RDP-Tcp#12","2","7,108 KB","Unknown","N/D","0:00:00","N/D"
"dwm.exe","6832","RDP-Tcp#12","2","53,884 KB","Running","N/D","0:00:24","DWM Notification Window"
"svchost.exe","7764","Services","0","5,368 KB","Unknown","N/D","0:00:00","N/D"
"RtkAudUService64.exe","1688","RDP-Tcp#12","2","10,180 KB","Running","N/D","0:00:00","RealtekAudioAdminBackgroundProcessClass"
"unsecapp.exe","4360","RDP-Tcp#12","2","6,728 KB","Running","N/D","0:00:00","OleMainThreadWndName"
"WmiPrvSE.exe","4408","Services","0","12,436 KB","Unknown","N/D","0:00:04","N/D"
"sihost.exe","5600","RDP-Tcp#12","2","25,060 KB","Running","HILCOTERRACOTA\arodriguez","0:00:02","N/D"
"svchost.exe","7388","RDP-Tcp#12","2","23,520 KB","Unknown","HILCOTERRACOTA\arodriguez","0:00:00","N/D"
"svchost.exe","8164","RDP-Tcp#12","2","23,392 KB","Running","HILCOTERRACOTA\arodriguez","0:00:00","Windows Push Notifications Platform"
"taskhostw.exe","2688","RDP-Tcp#12","2","14,560 KB","Running","HILCOTERRACOTA\arodriguez","0:00:00","Task Host Window"
"igfxEM.exe","7360","RDP-Tcp#12","2","21,020 KB","Running","HILCOTERRACOTA\arodriguez","0:00:01","The Event Manager Dashboard"
"svchost.exe","3548","Services","0","7,048 KB","Unknown","N/D","0:00:00","N/D"
"explorer.exe","6336","RDP-Tcp#12","2","90,000 KB","Running","HILCOTERRACOTA\arodriguez","0:00:09","N/D"
"smartscreen.exe","5316","RDP-Tcp#12","2","21,728 KB","Running","HILCOTERRACOTA\arodriguez","0:00:00","OleMainThreadWndName"
"svchost.exe","7768","RDP-Tcp#12","2","16,204 KB","Running","HILCOTERRACOTA\arodriguez","0:00:00","N/D"
"ShellExperienceHost.exe","6344","RDP-Tcp#12","2","67,380 KB","Running","HILCOTERRACOTA\arodriguez","0:00:01","Inicio"
"SearchUI.exe","7860","RDP-Tcp#12","2","164,876 KB","Running","HILCOTERRACOTA\arodriguez","0:00:04","Cortana"
"RuntimeBroker.exe","7628","RDP-Tcp#12","2","19,628 KB","Unknown","HILCOTERRACOTA\arodriguez","0:00:00","N/D"
"RuntimeBroker.exe","8288","RDP-Tcp#12","2","27,328 KB","Running","HILCOTERRACOTA\arodriguez","0:00:00","N/D"
"svchost.exe","8628","Services","0","10,376 KB","Unknown","N/D","0:00:00","N/D"
"RuntimeBroker.exe","9044","RDP-Tcp#12","2","13,772 KB","Unknown","HILCOTERRACOTA\arodriguez","0:00:01","N/D"
"svchost.exe","9316","Services","0","10,152 KB","Unknown","N/D","0:00:00","N/D"
"LockApp.exe","9568","RDP-Tcp#12","2","40,364 KB","Running","HILCOTERRACOTA\arodriguez","0:00:00","Pantalla de bloqueo predeterminada de Windows"
"RuntimeBroker.exe","9632","RDP-Tcp#12","2","28,424 KB","Running","HILCOTERRACOTA\arodriguez","0:00:00","N/D"
"svchost.exe","9776","Services","0","10,296 KB","Unknown","N/D","0:00:00","N/D"
"SecurityHealthSystray.exe","9872","RDP-Tcp#12","2","7,632 KB","Running","HILCOTERRACOTA\arodriguez","0:00:00","N/D"
"RtkAudUService64.exe","10064","RDP-Tcp#12","2","9,224 KB","Running","HILCOTERRACOTA\arodriguez","0:00:00","RealtekAudioBackgroundProcessClass"
"WavesSvc64.exe","10124","RDP-Tcp#12","2","11,592 KB","Running","HILCOTERRACOTA\arodriguez","0:00:00","WavesFXConnection_Capture"
"PSUAMain.exe","10212","RDP-Tcp#12","2","6,684 KB","Running","HILCOTERRACOTA\arodriguez","0:00:12","TryBarAPPAV"
"ApplicationFrameHost.exe","1920","RDP-Tcp#12","2","24,668 KB","Running","HILCOTERRACOTA\arodriguez","0:00:00","Configuración"
"MicrosoftEdge.exe","7868","RDP-Tcp#12","2","1,504 KB","Running","HILCOTERRACOTA\arodriguez","0:00:00","Microsoft Edge"
"browser_broker.exe","9424","RDP-Tcp#12","2","7,420 KB","Running","HILCOTERRACOTA\arodriguez","0:00:00","OleMainThreadWndName"
"dllhost.exe","9016","RDP-Tcp#12","2","11,244 KB","Running","HILCOTERRACOTA\arodriguez","0:00:00","OleMainThreadWndName"
"RuntimeBroker.exe","1860","RDP-Tcp#12","2","6,580 KB","Unknown","HILCOTERRACOTA\arodriguez","0:00:00","N/D"
"MicrosoftEdgeSH.exe","9784","RDP-Tcp#12","2","4,336 KB","Running","HILCOTERRACOTA\arodriguez","0:00:00","N/D"
"MicrosoftEdgeCP.exe","10168","RDP-Tcp#12","2","22,340 KB","Running","HILCOTERRACOTA\arodriguez","0:00:00","Microsoft Edge"
"SystemSettings.exe","8052","RDP-Tcp#12","2","196 KB","Running","HILCOTERRACOTA\arodriguez","0:00:00","Configuración"
"svchost.exe","9832","RDP-Tcp#12","2","10,480 KB","Unknown","HILCOTERRACOTA\arodriguez","0:00:00","N/D"
"Microsoft.Photos.exe","936","RDP-Tcp#12","2","67,368 KB","Running","HILCOTERRACOTA\arodriguez","0:00:04","OleMainThreadWndName"
"SettingSyncHost.exe","10968","RDP-Tcp#12","2","3,708 KB","Running","HILCOTERRACOTA\arodriguez","0:00:00","N/D"
"RuntimeBroker.exe","8364","RDP-Tcp#12","2","31,840 KB","Running","HILCOTERRACOTA\arodriguez","0:00:02","N/D"
"csrss.exe","9656","Console","3","3,920 KB","Unknown","N/D","0:00:00","N/D"
"winlogon.exe","4404","Console","3","6,924 KB","Unknown","N/D","0:00:00","N/D"
"LogonUI.exe","8020","Console","3","44,720 KB","Unknown","N/D","0:00:04","N/D"
"fontdrvhost.exe","1768","Console","3","2,784 KB","Unknown","N/D","0:00:00","N/D"
"dwm.exe","10612","Console","3","23,864 KB","Unknown","N/D","0:00:00","N/D"
"rdpclip.exe","9888","RDP-Tcp#12","2","10,216 KB","Running","HILCOTERRACOTA\arodriguez","0:00:00","N/D"
"WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe","4612","RDP-Tcp#12","2","38,152 KB","Running","HILCOTERRACOTA\arodriguez","0:00:00","Microsoft Text Input Application"
"ctfmon.exe","8740","RDP-Tcp#12","2","14,448 KB","Running","HILCOTERRACOTA\arodriguez","0:00:00","N/D"
"cmd.exe","11196","RDP-Tcp#12","2","3,920 KB","Running","HILCOTERRACOTA\arodriguez","0:00:00","Símbolo del sistema - TASKLIST  /V /FO CSV"
"conhost.exe","9896","RDP-Tcp#12","2","13,900 KB","Running","HILCOTERRACOTA\arodriguez","0:00:10","N/D"
"svchost.exe","5092","Services","0","5,608 KB","Unknown","N/D","0:00:00","N/D"
"Code.exe","7100","RDP-Tcp#12","2","67,856 KB","Running","HILCOTERRACOTA\arodriguez","0:00:59","prosses.txt - Visual Studio Code"
"Code.exe","10316","RDP-Tcp#12","2","37,576 KB","Running","HILCOTERRACOTA\arodriguez","0:00:22","N/D"
"Code.exe","8488","RDP-Tcp#12","2","64,176 KB","Unknown","HILCOTERRACOTA\arodriguez","0:01:20","N/D"
"Code.exe","9396","RDP-Tcp#12","2","10,396 KB","Running","HILCOTERRACOTA\arodriguez","0:00:00","crash service"
"Code.exe","5056","RDP-Tcp#12","2","50,648 KB","Unknown","HILCOTERRACOTA\arodriguez","0:00:02","N/D"
"Code.exe","2396","RDP-Tcp#12","2","30,716 KB","Unknown","HILCOTERRACOTA\arodriguez","0:00:02","N/D"
"Code.exe","11212","RDP-Tcp#12","2","21,896 KB","Unknown","HILCOTERRACOTA\arodriguez","0:00:00","N/D"
"CodeSetup-stable-88f15d17dca836346e787762685a40bb5cce75a8.exe","10020","RDP-Tcp#12","2","6,668 KB","Running","HILCOTERRACOTA\arodriguez","0:00:00","InnoSetupLdrWindow"
"CodeSetup-stable-88f15d17dca836346e787762685a40bb5cce75a8.tmp","3044","RDP-Tcp#12","2","19,548 KB","Not Responding","HILCOTERRACOTA\arodriguez","0:00:08","Instalar"
"chrome.exe","10696","RDP-Tcp#12","2","80,508 KB","Running","HILCOTERRACOTA\arodriguez","0:00:10","Converting CSV data to JSON with Go – Cihan Ozhan - Google Chrome"
"chrome.exe","8916","RDP-Tcp#12","2","6,468 KB","Running","HILCOTERRACOTA\arodriguez","0:00:00","N/D"
"chrome.exe","2628","RDP-Tcp#12","2","7,884 KB","Running","HILCOTERRACOTA\arodriguez","0:00:00","N/D"
"chrome.exe","10432","RDP-Tcp#12","2","35,900 KB","Running","HILCOTERRACOTA\arodriguez","0:00:02","N/D"
"chrome.exe","4124","RDP-Tcp#12","2","23,340 KB","Unknown","HILCOTERRACOTA\arodriguez","0:00:01","N/D"
"chrome.exe","8560","RDP-Tcp#12","2","43,168 KB","Unknown","HILCOTERRACOTA\arodriguez","0:00:05","N/D"
"chrome.exe","8828","RDP-Tcp#12","2","24,500 KB","Unknown","HILCOTERRACOTA\arodriguez","0:00:01","N/D"
"chrome.exe","2148","RDP-Tcp#12","2","15,528 KB","Unknown","HILCOTERRACOTA\arodriguez","0:00:00","N/D"
"YourPhone.exe","1576","RDP-Tcp#12","2","60 KB","Running","HILCOTERRACOTA\arodriguez","0:00:00","N/D"
"RuntimeBroker.exe","2996","RDP-Tcp#12","2","6,496 KB","Unknown","HILCOTERRACOTA\arodriguez","0:00:00","N/D"
"svchost.exe","10280","Services","0","6,256 KB","Unknown","N/D","0:00:13","N/D"
"svchost.exe","4772","Services","0","5,780 KB","Unknown","N/D","0:00:00","N/D"
"w3wp.exe","1204","Services","0","65,412 KB","Unknown","N/D","0:00:00","N/D"
"conhost.exe","3660","Services","0","12,072 KB","Unknown","N/D","0:00:00","N/D"
"tasklist.exe","1572","RDP-Tcp#12","2","8,376 KB","Unknown","HILCOTERRACOTA\arodriguez","0:00:00","N/D"
"WmiPrvSE.exe","8516","Services","0","8,472 KB","Unknown","N/D","0:00:00","N/D"
